Ticker,Annualised Return,Annualised Volatility,Sharpe Ratio
CAT,32.19143336414005,32.111388820920034,0.8819747262282568
COST,21.699896034295286,22.457458601292903,0.7939409507925709
JNJ,9.992646381409608,17.78195966189363,0.3443178647250175
JPM,21.47856261395429,26.659792551009676,0.660491359048006
KO,7.841179715869859,18.918271809247962,0.20991239347394286
NEE,8.744509050584082,25.4170522395254,0.1917810533120697
PG,6.402121801703207,17.574754419885842,0.14407722242981164
RTX,17.782313143926444,28.797843722358703,0.48310259886315376
UNH,9.160162361595972,29.334115967657006,0.18034163250151328
XOM,20.796536588583454,31.45412021983663,0.5381341608120607
