Ticker,Annualised Return,Annualised Volatility,Sharpe Ratio
AAPL,25.800638336022075,27.98298512664614,0.7837133256787225
AMZN,19.05554819456783,31.953549128983305,0.4752382320120383
AVGO,50.58742299257408,36.76725339876581,1.2706258606236351
INTU,19.2102836459135,28.46067478144057,0.538999295122722
LLY,41.323738648602564,32.57224615580192,1.149866621707669
META,28.58262267052622,40.379055412148176,0.6120158685805053
MSFT,21.073509098775016,22.398267455381085,0.7680732062444388
NFLX,26.12637482993116,40.49011367772672,0.5496742984491596
NVDA,71.20791634391959,48.61591859529122,1.3851001542207149
V,12.77582066666653,22.395033468021282,0.3976694511032319
