Date,AAPL,AMZN,AVGO,INTU,LLY,META,MSFT,NFLX,NVDA,V
2020-02-01,-0.11679781034975012,-0.06221372013363058,-0.10663257676525395,-0.04997774407482902,-0.09674884327195299,-0.046753450915777095,-0.04828766228924586,0.06937323844251919,0.14228309552033758,-0.08649556622741839
2020-03-01,-0.06755360331618254,0.035020571318223226,-0.13029134204778825,-0.13485046119974475,0.10551799348533364,-0.13337143009639485,-0.02388282376807105,0.017532432627999084,-0.023372778420447493,-0.11227239132573619
2020-04-01,0.15537363797739712,0.2689001176660717,0.1650650799881297,0.1730869253532592,0.11476349900469929,0.22727810405936988,0.13632636689681688,0.11810922672173652,0.10880102639366496,0.10923534615061015
2020-05-01,0.08216482746465248,-0.012784941240091774,0.07234381613883478,0.07834057844089526,-0.010928372643999706,0.0995553965608309,0.022543254417317415,-0.000285841072363735,0.2146568526643764,0.09243528056142236
2020-06-01,0.15049222963618858,0.12956672853391127,0.08356515626194172,0.020219053878792526,0.07847582006852094,0.008796693447866044,0.1136526203475563,0.08412555882638961,0.07010937958116936,-0.008945805608774116
2020-07-01,0.16513177413561575,0.1471136218500213,0.013951627556061608,0.03436949658663746,-0.08460230700146087,0.11714434904868742,0.007370274780940322,0.07436706114992031,0.1181165337059058,-0.014339911370249148
2020-08-01,0.21437958265839963,0.09046103369298208,0.09597498450047715,0.12929105854471978,-0.012642003895192877,0.15583248136170602,0.10009309233612695,0.08321061922817141,0.2599921456636798,0.11339315417150164
2020-09-01,-0.1009079911530788,-0.08757859185260553,0.04945972409428734,-0.05553146725932445,0.0023689473526693483,-0.10675302141979714,-0.06514271354542445,-0.05576332914520554,0.011663817095068474,-0.05527479751325903
2020-10-01,-0.060012355101690784,-0.03575408533520552,-0.03157217382055866,-0.03534539718394836,-0.11863258037343294,0.004619900745943761,-0.03736977084226856,-0.04857702777528139,-0.07337109892525506,-0.09131352609610721
2020-11-01,0.0936067439284547,0.043439868865324804,0.14858535981471932,0.12063438270611204,0.11643421955384992,0.05267768602963341,0.05729248799411657,0.03144571281169428,0.06921175014885805,0.15761364621433294
2020-12-01,0.11649619826564961,0.028058383014484267,0.09031808755392756,0.07905797963939776,0.16517311076988572,-0.013756004107012387,0.04172623697216826,0.10195643362263462,-0.025855447838403656,0.04140489848118656
